Transcription,Layer A_dhrithi,Layer B_dhrithi,Target_dhrithi,Span_dhrithi,Confidence_dhrithi,Comments_dhrithi,Unnamed: 7,Layer A_lavanya,Layer B_lavanya,Target_lavanya,Span_lavanya,Confidence_lavanya,Comments_lavanya,Layer_A_Match,Layer_B_Match
"TAPPER: We're live from Georgia, a key battleground state in the race for the White House. In just moments, the current U.S. president will debate the former U.S. president as their parties' presumptive nominees, a first in American history.",S-Inform,,,,1,,1,S-Inform,,,,1,,TRUE,FALSE
We want to welcome our viewers in the United States and around the world to our studios in Atlanta.,S-Inform,,,,1,,1,S-Inform,,,,1,,TRUE,FALSE
This is the CNN presidential debate.,S,,,,1,,1,S,,,,1,,TRUE,FALSE
"BASH: This debate is being produced by CNN and it's coming to you live on CNN, CNN International, CNN.com, CNN Max, and CNN Espanol.",S-Inform,,,,1,,1,S-Inform,,,,1,,TRUE,FALSE
This is a pivotal moment between President Joe Biden and former President Donald Trump in their rematch for the nation's highest office. Each will make his case to the American people with just over four months until Election Day.,S-Inform,,,,1,,1,S-Inform,,,,1,,TRUE,FALSE
"Good evening. I'm Dana Bash, anchor of CNN's ""INSIDE POLITICS"" and co-anchor of ""STATE OF THE UNION"".",S-Inform,,,,1,,1,S-Inform,,,,1,,TRUE,FALSE
"TAPPER: I'm Jake Tapper, anchor of CNN's ""THE LEAD"" and co-anchor of ""STATE OF THE UNION"".",S-Inform,,,,1,,1,S-Inform,,,,1,,TRUE,FALSE
Dana and I will co-moderate this evening. Our job he is to facilitate a debate between the two candidates tonight.,S-Inform,,,,1,,1,S-Inform,,,,1,,TRUE,FALSE
"Before we introduce them, we wanted to share the rules of the debate with the audience at home.",S-Inform,,,,1,,1,S-Inform,,,,1,,TRUE,FALSE
"Former President Trump will be on the left side of the screen. President Biden will be appearing on the right. A coin toss determined their positions. Each candidate will have two minutes to answer the question, and one minute each for responses and rebuttals. An additional minute for follow-up clarification or response is at the moderator's discretion.",S-Inform,,,,1,,1,S-Inform,,,,1,,TRUE,FALSE
"BASH: When it's time for our candidate to speak, his microphone will be turned on and his opponent's microphone will be turned off. Should a candidate interrupt when his microphone is muted, he will be difficult to understand for viewers at home.",S-Inform,,,,1,,1,S-Inform,,,,1,,TRUE,FALSE
"At the end of the debate, each candidate will get two minutes for closing statements. There is no studio audience tonight.",S-Inform,,,,1,,1,,,,,1,,FALSE,FALSE
